stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
070783,70783,"070783","R Principal (X) R Remédios","","",38.817642,-9.104896,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070785,70785,"070785","Praceta Combatentes 21 (Igreja)","","",38.815701,-9.103716,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070787,70787,"070787","R Santa Justa (X) R Navegantes","","",38.813341,-9.102592,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070788,70788,"070788","R Santa Justa (X) R Navegantes","","",38.813347,-9.102759,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070789,70789,"070789","R Norte 8 (B Bela Vista)","","",38.81073,-9.103645,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070790,70790,"070790","R Norte 8 (B Bela Vista)","","",38.81029,-9.103917,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070791,70791,"070791","R Bento Gonçalves 1","","",38.810216,-9.102051,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070793,70793,"070793","R Mártires Tarrafal 43","","",38.808829,-9.102197,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070795,70795,"070795","R Amílcar Cabral 3","","",38.807214,-9.101158,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070797,70797,"070797","R Nossa Sra Ajuda 5","","",38.814483,-9.097005,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070799,70799,"070799","Rua Aristides Sousa Mendes","","",38.81645,-9.097621,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070801,70801,"070801","R 25 de Abril 7 (C Saúde)","","",38.818433,-9.096741,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070807,70807,"070807","Av 11 Março 84 (Portela Azóia)","","",38.837124,-9.096726,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070809,70809,"070809","Av 11 Março 66 (Portela Azóia)","","",38.837573,-9.098757,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
