layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED119_950_955,43,ESC_DOM,15:50:00,15:55:00,020403,ESC_DOM_ED119,ED119,ED119
ED119_990_1005,43,ESC_DOM,16:30:00,16:45:00,140946,ESC_DOM_ED119,ED119,ED119
ED11_1000_1035,43,ESC_DOM,16:40:00,17:15:00,020705,ESC_DOM_ED11,ED11,ED11
ED11_1115_1120,43,ESC_DOM,18:35:00,18:40:00,029589,ESC_DOM_ED11,ED11,ED11
ED11_1160_1175,43,ESC_DOM,19:20:00,19:35:00,020489,ESC_DOM_ED11,ED11,ED11
ED11_1221_1240,43,ESC_DOM,20:21:00,20:40:00,020977,ESC_DOM_ED11,ED11,ED11
ED11_405_410,43,ESC_DOM,06:45:00,06:50:00,069357,ESC_DOM_ED11,ED11,ED11
ED11_550_570,43,ESC_DOM,09:10:00,09:30:00,020637,ESC_DOM_ED11,ED11,ED11
ED11_685_690,43,ESC_DOM,11:25:00,11:30:00,020113,ESC_DOM_ED11,ED11,ED11
ED11_730_780,43,ESC_DOM,12:10:00,13:00:00,020735,ESC_DOM_ED11,ED11,ED11
ED11_840_885,43,ESC_DOM,14:00:00,14:45:00,021017,ESC_DOM_ED11,ED11,ED11
ED11_940_945,43,ESC_DOM,15:40:00,15:45:00,069357,ESC_DOM_ED11,ED11,ED11
ED120_1120_1125,43,ESC_DOM,18:40:00,18:45:00,020735,ESC_DOM_ED120,ED120,ED120
ED120_1165_1170,43,ESC_DOM,19:25:00,19:30:00,020429,ESC_DOM_ED120,ED120,ED120
ED120_620_630,43,ESC_DOM,10:20:00,10:30:00,020691,ESC_DOM_ED120,ED120,ED120
ED120_680_685,43,ESC_DOM,11:20:00,11:25:00,020637,ESC_DOM_ED120,ED120,ED120
ED120_725_760,43,ESC_DOM,12:05:00,12:40:00,020073,ESC_DOM_ED120,ED120,ED120
ED120_808_840,43,ESC_DOM,13:28:00,14:00:00,020317,ESC_DOM_ED120,ED120,ED120
ED120_895_900,43,ESC_DOM,14:55:00,15:00:00,140021,ESC_DOM_ED120,ED120,ED120
ED121_1015_1050,43,ESC_DOM,16:55:00,17:30:00,148812,ESC_DOM_ED121,ED121,ED121
ED121_1075_1080,43,ESC_DOM,17:55:00,18:00:00,140074,ESC_DOM_ED121,ED121,ED121
ED121_1105_1110,43,ESC_DOM,18:25:00,18:30:00,148812,ESC_DOM_ED121,ED121,ED121
ED121_1135_1140,43,ESC_DOM,18:55:00,19:00:00,140074,ESC_DOM_ED121,ED121,ED121
ED121_624_635,43,ESC_DOM,10:24:00,10:35:00,160747,ESC_DOM_ED121,ED121,ED121
ED121_670_720,43,ESC_DOM,11:10:00,12:00:00,142335,ESC_DOM_ED121,ED121,ED121
ED121_790_840,43,ESC_DOM,13:10:00,14:00:00,142335,ESC_DOM_ED121,ED121,ED121
ED121_891_930,43,ESC_DOM,14:51:00,15:30:00,140553,ESC_DOM_ED121,ED121,ED121
ED121_975_990,43,ESC_DOM,16:15:00,16:30:00,140073,ESC_DOM_ED121,ED121,ED121
ED122_1025_1030,43,ESC_DOM,17:05:00,17:10:00,140755,ESC_DOM_ED122,ED122,ED122
ED122_1085_1090,43,ESC_DOM,18:05:00,18:10:00,060459,ESC_DOM_ED122,ED122,ED122
ED122_1140_1150,43,ESC_DOM,19:00:00,19:10:00,140755,ESC_DOM_ED122,ED122,ED122
ED122_1205_1210,43,ESC_DOM,20:05:00,20:10:00,060459,ESC_DOM_ED122,ED122,ED122
ED122_636_690,43,ESC_DOM,10:36:00,11:30:00,150170,ESC_DOM_ED122,ED122,ED122
ED122_828_840,43,ESC_DOM,13:48:00,14:00:00,150242,ESC_DOM_ED122,ED122,ED122
